area_name_en,forecast_quarter,forecast_price,yhat_lower,yhat_upper,growth_factor,growth_factor_lower,growth_factor_upper,past_quarter,past_median_price,actual_median,predicted_median
Al Barsha South Fifth,2024Q3,12564.724501453647,8575.188069536815,16554.260933370482,0.9321626566004598,0.6361834746812968,1.228141838519623,2022Q1,9516.71,15209.4,13013.034255359444
Al Barsha South Fifth,2024Q4,12102.708838284849,7632.822892560072,16572.59478400962,0.8978862386877052,0.566270471275868,1.2295020060995423,2022Q1,9516.71,15209.4,13013.034255359444
Al Barsha South Fifth,2025Q1,11869.26452635562,7284.802469604838,16453.726583106403,0.8805672700186319,0.5404512309116535,1.2206833091256102,2022Q1,9516.71,15209.4,13013.034255359444
Al Barsha South Fifth,2025Q2,11751.311281224624,7138.053746678032,16364.568815771214,0.8718164525754611,0.5295641096380952,1.2140687955128269,2022Q1,9516.71,15209.4,13013.034255359444
Al Barsha South Fifth,2024Q3,12564.724501453647,8575.188069536815,16554.260933370482,0.9321626566004598,0.6361834746812968,1.228141838519623,2022Q2,10330.58,15209.4,13013.034255359444
Al Barsha South Fifth,2024Q4,12102.708838284849,7632.822892560072,16572.59478400962,0.8978862386877052,0.566270471275868,1.2295020060995423,2022Q2,10330.58,15209.4,13013.034255359444
Al Barsha South Fifth,2025Q1,11869.26452635562,7284.802469604838,16453.726583106403,0.8805672700186319,0.5404512309116535,1.2206833091256102,2022Q2,10330.58,15209.4,13013.034255359444
Al Barsha South Fifth,2025Q2,11751.311281224624,7138.053746678032,16364.568815771214,0.8718164525754611,0.5295641096380952,1.2140687955128269,2022Q2,10330.58,15209.4,13013.034255359444
Al Barsha South Fifth,2024Q3,12564.724501453647,8575.188069536815,16554.260933370482,0.9321626566004598,0.6361834746812968,1.228141838519623,2022Q3,7891.37,15209.4,13013.034255359444
Al Barsha South Fifth,2024Q4,12102.708838284849,7632.822892560072,16572.59478400962,0.8978862386877052,0.566270471275868,1.2295020060995423,2022Q3,7891.37,15209.4,13013.034255359444
Al Barsha South Fifth,2025Q1,11869.26452635562,7284.802469604838,16453.726583106403,0.8805672700186319,0.5404512309116535,1.2206833091256102,2022Q3,7891.37,15209.4,13013.034255359444
