,meter_sale_price,procedure_area,rooms_en,floor_bin,swimming_pool,balcony,elevator,metro,has_parking,area_name_en
279,6695.6,145.17,PENTHOUSE,11-20,1,1,0,1,1,Business Bay
280,32846.9,118.55,2 B/R,81-90,1,1,1,1,1,Business Bay
281,6601.28,53.02,1 B/R,21-30,1,0,0,1,0,Business Bay
282,31141.56,112.39,2 B/R,91-100,1,1,1,0,1,Business Bay
283,15437.18,79.03,Studio,Other,1,1,0,1,1,Business Bay
284,19012.29,82.21,1 B/R,11-20,0,1,1,1,0,Business Bay
285,22704.71,69.59,1 B/R,Other,1,1,1,0,1,Hadaeq Sheikh Mohammed Bin Rashid
286,27479.94,153.89,3 B/R,Below 1st floor,1,1,0,0,1,Hadaeq Sheikh Mohammed Bin Rashid
287,27626.36,69.35,1 B/R,Other,0,1,1,0,1,Hadaeq Sheikh Mohammed Bin Rashid
288,24128.25,101.13,2 B/R,Other,1,1,1,0,1,Hadaeq Sheikh Mohammed Bin Rashid
289,8364.7,143.46,2 B/R,Below 1st floor,0,0,1,1,0,Jabal Ali First
290,18346.03,35.43,Studio,Below 1st floor,1,1,0,0,1,Jabal Ali First
291,9610.21,130.07,2 B/R,Below 1st floor,1,1,0,1,0,Jabal Ali First
292,11669.97,171.38,2 B/R,Below 1st floor,0,1,0,0,1,Madinat Al Mataar
293,7572.33,44.24,Studio,1-10,0,1,1,0,1,Madinat Al Mataar
294,27721.84,74.49,1 B/R,Below 1st floor,0,0,1,0,1,Madinat Al Mataar
295,6139.2,98.71,2 B/R,1-10,1,0,0,0,1,Madinat Al Mataar
296,26914.58,76.91,1 B/R,1-10,0,0,1,0,1,Madinat Al Mataar
297,6310.05,120.95,2 B/R,1-10,0,1,0,0,1,Madinat Al Mataar
298,11383.93,107.52,2 B/R,1-10,1,1,0,0,1,Madinat Al Mataar
299,26912.14,147.74,2 B/R,Below 1st floor,0,0,1,0,1,Madinat Al Mataar
300,5468.91,159.71,3 B/R,1-10,1,1,0,0,1,Madinat Al Mataar
301,27076.04,108.62,2 B/R,1-10,0,0,1,0,1,Madinat Al Mataar
302,6423.46,82.51,1 B/R,1-10,1,1,0,0,1,Madinat Al Mataar
303,8759.49,19.04,Studio,Below 1st floor,0,1,1,0,1,Madinat Al Mataar
304,7182.58,43.16,Studio,1-10,1,1,0,0,1,Madinat Al Mataar
305,22054.38,33.1,Studio,Other,1,1,1,0,1,Madinat Al Mataar
306,8337.15,82.87,1 B/R,1-10,1,1,0,0,0,Madinat Al Mataar
307,20309.02,125.56,2 B/R,11-20,1,0,1,0,1,Madinat Al Mataar
308,11840.3,27.32,Studio,1-10,1,0,1,0,0,Madinat Al Mataar
309,16046.34,174.55,3 B/R,Other,1,1,1,0,1,Madinat Al Mataar
310,9372.07,42.68,Studio,1-10,1,0,0,0,1,Madinat Al Mataar
311,2490.23,148.14,3 B/R,1-10,1,1,1,0,0,Madinat Al Mataar
312,16145.94,30.8,Studio,1-10,1,1,1,0,0,Madinat Al Mataar
313,8130.65,42.71,Studio,Below 1st floor,1,0,1,0,1,Madinat Al Mataar
314,27657.19,44.69,Studio,31-40,1,1,1,0,1,Madinat Dubai Almelaheyah
315,25272.33,55.08,Studio,21-30,0,1,1,0,1,Madinat Dubai Almelaheyah
316,31145.45,39.74,Studio,31-40,0,1,1,0,1,Madinat Dubai Almelaheyah
317,30548.01,39.78,Studio,41-50,1,1,1,0,1,Madinat Dubai Almelaheyah
318,21856.3,116.3,2 B/R,Other,0,1,1,0,1,Madinat Dubai Almelaheyah
319,34208.15,157.62,3 B/R,Other,0,1,1,0,1,Madinat Dubai Almelaheyah
320,20922.77,40.53,Studio,41-50,1,0,1,1,1,Madinat Dubai Almelaheyah
321,30442.48,39.55,Studio,21-30,1,1,1,0,0,Madinat Dubai Almelaheyah
322,22158.01,103.84,2 B/R,1-10,1,0,1,0,1,Madinat Dubai Almelaheyah
323,11532.97,116.91,2 B/R,51-60,1,1,0,1,1,Marsa Dubai
324,17310.5,109.76,2 B/R,61-70,1,1,0,1,1,Marsa Dubai
325,11641.4,167.54,3 B/R,61-70,1,1,0,1,1,Marsa Dubai
326,21307.76,75.09,1 B/R,71-80,1,1,0,1,1,Marsa Dubai
327,12752.69,158.79,2 B/R,11-20,1,1,0,1,0,Marsa Dubai
328,9072.06,154.32,3 B/R,51-60,1,1,0,1,1,Marsa Dubai
329,12885.05,83.43,1 B/R,31-40,1,0,0,1,1,Marsa Dubai
330,9901.0,85.12,1 B/R,51-60,1,1,0,1,1,Marsa Dubai
331,27467.76,161.28,2 B/R,91-100,1,0,1,1,1,Marsa Dubai
332,16262.36,85.1,1 B/R,61-70,1,1,0,1,1,Marsa Dubai
333,20105.55,159.16,PENTHOUSE,51-60,1,1,0,1,1,Marsa Dubai
334,6952.13,162.54,PENTHOUSE,41-50,1,0,1,1,1,Marsa Dubai
335,11344.68,149.85,More than 3B/R,11-20,1,1,0,1,1,Marsa Dubai
336,13527.12,84.63,1 B/R,31-40,0,0,1,1,1,Marsa Dubai
337,17636.33,98.66,1 B/R,81-90,1,1,0,1,1,Marsa Dubai
338,8736.64,159.1,3 B/R,71-80,1,1,0,1,1,Marsa Dubai
339,11606.82,110.28,1 B/R,41-50,1,1,0,1,0,Marsa Dubai
340,26795.08,133.42,2 B/R,81-90,1,0,1,1,1,Marsa Dubai
341,9168.54,111.0,3 B/R,Below 1st floor,1,1,0,1,0,Marsa Dubai
342,18503.62,124.3,2 B/R,31-40,0,0,1,1,1,Marsa Dubai
343,9741.24,132.94,2 B/R,41-50,1,1,0,1,0,Marsa Dubai
344,14947.03,141.77,2 B/R,71-80,1,1,0,1,1,Marsa Dubai
345,21101.55,131.27,2 B/R,Other,1,1,0,1,1,Marsa Dubai
346,10978.52,146.65,3 B/R,61-70,1,1,0,1,0,Marsa Dubai
347,7135.02,163.98,2 B/R,81-90,1,1,0,1,1,Marsa Dubai
348,14306.15,146.79,2 B/R,51-60,1,1,0,1,0,Marsa Dubai
349,11058.89,108.51,2 B/R,11-20,0,0,1,1,1,Marsa Dubai
350,6862.24,174.87,3 B/R,1-10,1,1,0,1,0,Marsa Dubai
351,15355.54,169.32,PENTHOUSE,31-40,1,1,0,1,1,Marsa Dubai
352,13888.89,132.48,2 B/R,Duplex,1,1,0,1,1,Marsa Dubai
353,10650.72,145.53,3 B/R,41-50,1,1,0,1,0,Marsa Dubai
354,10663.34,72.21,1 B/R,Below 1st floor,0,0,1,1,1,Me'Aisem First
355,6169.51,72.25,1 B/R,21-30,1,1,0,0,1,Nadd Hessa
356,7347.94,73.49,1 B/R,1-10,1,0,0,0,1,Nadd Hessa
357,6668.34,79.48,1 B/R,11-20,1,1,0,0,1,Nadd Hessa
358,21825.77,38.57,Studio,11-20,0,1,1,0,1,Nadd Hessa
359,6936.69,170.11,3 B/R,21-30,1,1,0,0,1,Nadd Hessa
360,4545.89,71.34,1 B/R,21-30,1,0,0,0,1,Nadd Hessa
361,11021.21,35.84,Studio,11-20,1,0,0,0,1,Nadd Hessa
362,6369.85,74.57,1 B/R,11-20,1,0,0,0,1,Nadd Hessa
363,6936.05,31.43,Studio,11-20,1,1,0,0,1,Nadd Hessa
364,2744.88,111.32,2 B/R,11-20,1,1,0,0,1,Nadd Hessa
365,7574.36,108.26,2 B/R,11-20,1,0,0,0,1,Nadd Hessa
366,7636.18,117.86,2 B/R,21-30,1,1,0,0,1,Nadd Hessa
367,6948.04,105.86,3 B/R,1-10,1,0,0,0,1,Nadd Hessa
368,10497.24,36.2,Studio,21-30,1,0,0,0,1,Nadd Hessa
369,7722.01,142.45,3 B/R,11-20,1,0,0,0,1,Nadd Hessa
370,6011.5,76.52,1 B/R,Other,1,0,1,0,1,Nadd Hessa
371,9732.36,32.88,Studio,21-30,1,1,0,0,1,Nadd Hessa
372,6674.5,93.64,2 B/R,Other,1,0,1,0,1,Nadd Hessa
373,13787.17,78.36,1 B/R,1-10,1,1,1,0,0,Wadi Al Safa 5
374,15028.35,39.04,Studio,11-20,1,1,1,0,0,Wadi Al Safa 5
375,12295.08,35.38,Studio,11-20,0,0,1,0,1,Wadi Al Safa 5
376,13090.91,74.44,1 B/R,21-30,1,1,1,0,0,Wadi Al Safa 5
377,6869.17,41.49,Studio,21-30,1,0,1,0,1,Wadi Al Safa 5
378,7203.27,73.3,1 B/R,Below 1st floor,1,0,1,0,1,Wadi Al Safa 5
379,17542.47,38.38,Studio,31-40,1,1,1,0,0,Wadi Al Safa 5
380,8205.76,70.37,1 B/R,11-20,1,1,1,0,0,Wadi Al Safa 5
381,22916.36,68.51,1 B/R,11-20,1,1,1,1,1,Al Thanyah Fifth
382,12582.78,151.0,2 B/R,1-10,1,1,0,1,1,Al Thanyah Fifth
383,7067.14,59.43,1 B/R,21-30,1,1,1,1,1,Al Thanyah Fifth
384,7035.91,110.28,2 B/R,21-30,1,1,0,1,1,Al Thanyah Fifth
385,11249.15,160.99,2 B/R,11-20,1,1,0,1,1,Al Thanyah Fifth
386,25698.9,38.99,Studio,21-30,1,1,1,1,1,Al Thanyah Fifth
387,28792.76,81.16,1 B/R,1-10,1,1,1,1,1,Al Thanyah Fifth
388,21655.52,98.57,2 B/R,11-20,1,1,1,1,1,Al Thanyah Fifth
389,8932.49,28.13,Studio,1-10,1,1,1,1,1,Al Barsha South Fourth
390,18656.46,37.14,Studio,11-20,1,1,1,1,1,Al Barsha South Fourth
391,10508.3,37.97,Studio,21-30,1,0,1,1,1,Al Barsha South Fourth
392,15546.73,43.55,Studio,Below 1st floor,1,1,1,1,1,Al Barsha South Fourth
393,16139.31,79.99,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fourth
394,15863.3,106.96,2 B/R,11-20,1,1,1,1,1,Al Barsha South Fourth
395,14053.57,74.69,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fourth
396,10350.95,69.61,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fourth
397,10468.56,78.32,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fourth
