area_name_en,quarter,median_price,type
Al Yelayiss 2,2024Q1,12393.56,Historical
Al Yelayiss 2,2024Q2,12307.165,Historical
Al Yelayiss 2,2024Q3,11931.785,Historical
Al Yelayiss 2,2024Q4,12276.08,Historical
Al Yelayiss 2,2025Q1,14022.79,Historical
Al Yelayiss 2,2025Q2,14502.84,Historical
Burj Khalifa,2022Q1,17631.31,Historical
Burj Khalifa,2022Q2,22885.265,Historical
Burj Khalifa,2022Q3,23683.7,Historical
Burj Khalifa,2022Q4,20357.86,Historical
Burj Khalifa,2023Q1,23152.945,Historical
Burj Khalifa,2023Q2,20986.22,Historical
Burj Khalifa,2023Q3,19976.69,Historical
Burj Khalifa,2023Q4,23182.23,Historical
Burj Khalifa,2024Q1,22251.585,Historical
Burj Khalifa,2024Q2,20454.22,Historical
Burj Khalifa,2024Q3,21613.295,Historical
Burj Khalifa,2024Q4,23664.92,Historical
Burj Khalifa,2025Q1,22398.260000000002,Historical
Burj Khalifa,2025Q2,21714.34,Historical
Business Bay,2022Q1,16729.09,Historical
Business Bay,2022Q2,18017.42,Historical
Business Bay,2022Q3,19837.07,Historical
Business Bay,2022Q4,21384.05,Historical
Business Bay,2023Q1,21608.59,Historical
Business Bay,2023Q2,18299.52,Historical
Business Bay,2023Q3,24028.56,Historical
Business Bay,2023Q4,22313.44,Historical
Business Bay,2024Q1,23445.29,Historical
Business Bay,2024Q2,23858.37,Historical
Business Bay,2024Q3,23538.07,Historical
Business Bay,2024Q4,24197.239999999998,Historical
Business Bay,2025Q1,24167.86,Historical
Business Bay,2025Q2,24658.57,Historical
Hadaeq Sheikh Mohammed Bin Rashid,2022Q1,16696.73,Historical
Hadaeq Sheikh Mohammed Bin Rashid,2022Q2,15822.12,Historical
Hadaeq Sheikh Mohammed Bin Rashid,2022Q3,18483.49,Historical
Hadaeq Sheikh Mohammed Bin Rashid,2022Q4,18795.82,Historical
Hadaeq Sheikh Mohammed Bin Rashid,2023Q1,20268.805,Historical
Hadaeq Sheikh Mohammed Bin Rashid,2023Q2,20601.57,Historical
Hadaeq Sheikh Mohammed Bin Rashid,2023Q3,20473.2,Historical
Hadaeq Sheikh Mohammed Bin Rashid,2023Q4,22362.58,Historical
Hadaeq Sheikh Mohammed Bin Rashid,2024Q1,22414.57,Historical
Hadaeq Sheikh Mohammed Bin Rashid,2024Q2,23699.29,Historical
Hadaeq Sheikh Mohammed Bin Rashid,2024Q3,25573.38,Historical
Hadaeq Sheikh Mohammed Bin Rashid,2024Q4,24674.940000000002,Historical
Hadaeq Sheikh Mohammed Bin Rashid,2025Q1,24557.34,Historical
Hadaeq Sheikh Mohammed Bin Rashid,2025Q2,25027.095,Historical
Jabal Ali First,2022Q1,10430.165,Historical
Jabal Ali First,2022Q2,10260.615,Historical
Jabal Ali First,2022Q3,11208.39,Historical
Jabal Ali First,2022Q4,11175.73,Historical
Jabal Ali First,2023Q1,9846.1,Historical
Jabal Ali First,2023Q2,10766.92,Historical
Jabal Ali First,2023Q3,10460.25,Historical
Jabal Ali First,2023Q4,12100.58,Historical
Jabal Ali First,2024Q1,11894.48,Historical
Jabal Ali First,2024Q2,12520.93,Historical
Jabal Ali First,2024Q3,12317.785,Historical
Jabal Ali First,2024Q4,13118.68,Historical
Jabal Ali First,2025Q1,13303.6,Historical
Jabal Ali First,2025Q2,13893.54,Historical
Madinat Al Mataar,2022Q1,7219.355,Historical
Madinat Al Mataar,2022Q2,6421.895,Historical
Madinat Al Mataar,2022Q3,7005.174999999999,Historical
Madinat Al Mataar,2022Q4,7346.045,Historical
Madinat Al Mataar,2023Q1,7314.95,Historical
Madinat Al Mataar,2023Q2,7683.615,Historical
Madinat Al Mataar,2023Q3,12384.43,Historical
Madinat Al Mataar,2023Q4,10544.33,Historical
Madinat Al Mataar,2024Q1,15926.975,Historical
Madinat Al Mataar,2024Q2,10394.71,Historical
