area_name_en,forecast_quarter,forecast_price,yhat_lower,yhat_upper,growth_factor,growth_factor_lower,growth_factor_upper
Al Barsha South Fifth,2024-09-30,12564.724501453647,8575.188069536815,16554.260933370482,0.9321626566004598,0.6361834746812968,1.228141838519623
Al Barsha South Fifth,2024-12-31,12102.708838284847,7632.822892560072,16572.59478400962,0.8978862386877052,0.566270471275868,1.2295020060995423
Al Barsha South Fifth,2025-03-31,11869.26452635562,7284.802469604838,16453.726583106403,0.8805672700186319,0.5404512309116535,1.2206833091256102
Al Barsha South Fifth,2025-06-30,11751.311281224624,7138.053746678032,16364.568815771214,0.8718164525754611,0.5295641096380952,1.2140687955128269
Al Barsha South Fourth,2024-09-30,13613.330744335031,12785.888337489712,14440.77315118035,1.0325474699259194,0.9697874018909103,1.0953075379609285
Al Barsha South Fourth,2024-12-31,13961.383995414106,12965.602369752352,14957.16562107586,1.058946703923135,0.9834183988018018,1.1344750090444682
Al Barsha South Fourth,2025-03-31,14336.224432681503,13150.143814534642,15522.305050828365,1.0873776994227071,0.9974155465597611,1.1773398522856533
Al Barsha South Fourth,2025-06-30,14702.212709055108,13366.397477678185,16038.02794043203,1.1151372739081336,1.0138180109481325,1.2164565368681346
Al Barshaa South Third,2024-09-30,13430.09043859649,11424.28468077054,15435.89619642244,1.0,0.8506483804411694,1.1493516195588305
Al Barshaa South Third,2024-12-31,13430.09043859649,10593.452732392987,16266.728144799992,1.0,0.788784914057515,1.2112150859424848
Al Barshaa South Third,2025-03-31,13430.09043859649,9955.932955927747,16904.247921265232,1.0,0.7413154067314077,1.2586845932685922
Al Barshaa South Third,2025-06-30,13430.09043859649,9418.478922944589,17441.70195424839,1.0,0.7012967608823389,1.2987032391176612
Al Hebiah Fourth,2024-09-30,11766.22222564353,9504.190687963779,14028.253763323282,0.9569667029515173,0.7729918619980651,1.1409415439049695
Al Hebiah Fourth,2024-12-31,11505.732427341945,7208.730108420086,15802.734746263804,0.9357806282154914,0.5862981806758119,1.2852630757551708
