,Proxy,area_name_en,area_lat,area_lon,nRecords,Average Meter Sale Price
0,Al Merkadh,Al Barsha First,25.10849909,55.1923845,422,13547.73
1,Al Merkadh,Al Barsha South Fifth,25.04291825,55.18747333,10807,14744.07
2,Al Merkadh,Al Barsha South Fourth,25.05936493,55.21207713,65622,12186.81
3,Al Merkadh,Al Barshaa South Second,25.07190314,55.23227541,8968,16233.77
4,Al Merkadh,Al Barshaa South Third,25.06209482,55.23443163,19528,12637.13
5,Al Merkadh,Al Goze Fourth,25.15204218,55.2538392,2110,7308.36
6,Al Merkadh,Al Hebiah Fifth,25.00242864,55.24042905,6455,9633.91
7,Al Merkadh,Al Hebiah First,25.04998492,55.23894687,10692,13771.885
8,Al Merkadh,Al Hebiah Fourth,25.03502194,55.21354639,17171,9009.01
9,Al Merkadh,Al Hebiah Second,25.03836176,55.24784173,3709,13715.51
10,Al Merkadh,Al Hebiah Sixth,25.02119178,55.26280555,329,11976.48
11,Al Merkadh,Al Hebiah Third,25.02147288,55.26216265,7220,13323.08
12,Al Merkadh,Al Merkadh,25.16984676,55.29268975,30247,18168.71
13,Al Merkadh,Al Yelayiss 2,24.99404911,55.29142486,12528,11368.77
14,Al Merkadh,Hadaeq Sheikh Mohammed Bin Rashid,25.1053253,55.26733804,24107,20679.89
15,Al Merkadh,Madinat Hind 4,24.9981931,55.37157657,2320,12432.17
16,Al Merkadh,Saih Shuaib 2,24.87549227,55.05686863,1236,14531.205
17,Al Merkadh,Wadi Al Safa 2,25.10606176,55.36153117,6526,7788.780000000001
18,Al Merkadh,Wadi Al Safa 3,25.11569338,55.32337167,8359,12701.4
19,Al Merkadh,Wadi Al Safa 4,25.07281915,55.31302736,3588,19317.36
20,Al Merkadh,Wadi Al Safa 5,25.08232101,55.36365192,18298,11760.315
21,Al Merkadh,Wadi Al Safa 7,25.04253774,55.28449984,1560,8961.91
22,Al Warsan First,Al Jadaf,25.21430093,55.32735895,9001,15583.94
23,Al Warsan First,Al Warsan First,25.1599767,55.4246648,15222,6014.49
24,Al Warsan First,Nad Al Hamar,25.20191882,55.38446945,112,10511.115000000002
25,Al Warsan First,Nad Al Shiba,25.1451203,55.3392738,1480,7117.135
26,Al Warsan First,Nad Al Shiba First,25.14725852,55.30501384,3226,12466.635
27,Bukadra,Al Kifaf,25.23424657,55.29696777,4160,18401.62
28,Bukadra,Al Thanyah Fifth,25.051959,55.15578,24609,12357.72
29,Bukadra,Al Thanyah First,25.0987035,55.1725124,1069,10387.56
30,Bukadra,Al Thanyah Third,25.094255,55.161612,9174,12559.64
31,Bukadra,Bukadra,25.1770677,55.3250371,7404,25994.56
32,Bukadra,Madinat Dubai Almelaheyah,25.266914,55.266119,11260,26411.84
33,Bukadra,Rega Al Buteen,25.25944987,55.31737608,90,8542.865000000002
34,Bukadra,Um Hurair Second,25.23840744,55.32760641,95,21521.83
35,Burj Khalifa,Al Safouh First,25.12303578,55.1792713,809,12108.42
36,Burj Khalifa,Al Safouh Second,25.10001893,55.16360094,1214,27136.75
37,Burj Khalifa,Al Satwa,25.21992155,55.2742099,1426,22212.985
38,Burj Khalifa,Al Wasl,25.19685113,55.25356365,9670,23105.019999999997
39,Burj Khalifa,Burj Khalifa,25.19005375,55.27814093,33270,20966.434999999998
40,Burj Khalifa,Trade Center First,25.21780805,55.27795394,339,38891.34
41,Burj Khalifa,Trade Center Second,25.21364395,55.28021207,1009,48906.94
42,Burj Khalifa,Zaabeel First,25.2229504,55.30536808,1966,29218.14
43,Burj Khalifa,Zaabeel Second,25.1988826,55.29829935,4099,22609.7
44,Business Bay,Business Bay,25.18762593,55.27989946,47353,20664.44
45,Jabal Ali First,Al Qusais Industrial Fourth,25.29346782,55.40008641,111,7783.29
46,Jabal Ali First,Dubai Investment Park First,24.99222384,55.16651934,1641,8560.23
47,Jabal Ali First,Dubai Investment Park Second,24.97551093,55.20975585,3499,15771.19
48,Jabal Ali First,Jabal Ali,25.01126,55.06116,5174,7142.86
49,Jabal Ali First,Jabal Ali First,25.03192836,55.14232708,19525,11938.2
50,Jabal Ali First,Jabal Ali Industrial Second,24.95823558,55.10601052,2388,13397.154999999999
51,Jabal Ali First,Me'Aisem First,25.0177834,55.18312486,15880,10929.76
52,Jabal Ali First,Ras Al Khor Industrial First,25.17775008,55.33622108,2727,23411.58
53,Madinat Al Mataar,Madinat Al Mataar,24.91892638,55.18015257,16856,13430.24
54,Nadd Hessa,Al Khairan First,25.19564786,55.36033252,23307,20709.2
55,Nadd Hessa,Al Nahda First,25.28850649,55.36400769,213,2826.89
56,Nadd Hessa,Hessyan First,24.96920273,55.0250756,225,6577.44
57,Nadd Hessa,Mirdif,25.22331903,55.42166405,1414,12028.65
58,Nadd Hessa,Muhaisanah First,25.24457265,55.42065575,961,12356.72
59,Nadd Hessa,Nadd Hessa,25.12321,55.386619,14022,8745.875
60,Nadd Hessa,Warsan Fourth,25.14379674,55.40635719,3876,8501.990000000002
61,Palm Jumeirah,Island 2,25.1985959,55.2240363,362,41390.91
62,Palm Jumeirah,Jumeirah First,25.2249316,55.2584809,2399,22239.52
63,Palm Jumeirah,Jumeirah Second,25.2075147,55.2394827,302,65436.899999999994
64,Palm Jumeirah,Marsa Dubai,25.09547176,55.13076456,56267,18179.64
65,Palm Jumeirah,Palm Deira,25.33227698,55.2704399,4741,25232.92
66,Palm Jumeirah,Palm Jumeirah,25.1193271,55.1317401,13937,18687.71
67,Palm Jumeirah,Um Suqaim Third,25.14280454,55.18731602,3680,23638.045
