Area,Model,Dataset,Date,Actual,Predicted
Al Barsha South Fifth,SARIMA,Test,2025-07-01,15384.96,17318.84394942537
Al Barsha South Fifth,SARIMA,Test,2025-08-01,15727.49,22653.80387813905
Al Barsha South Fifth,Prophet,Train,2022-09-01,7924.18,11426.72470473181
Al Barsha South Fifth,Prophet,Train,2022-10-01,10296.44,12080.016027970989
Al Barsha South Fifth,Prophet,Train,2022-11-01,11258.24,10517.628428124426
Al Barsha South Fifth,Prophet,Train,2022-12-01,11128.12,10480.06632971769
Al Barsha South Fifth,Prophet,Train,2023-01-01,11641.96,11593.717217557798
Al Barsha South Fifth,Prophet,Train,2023-02-01,11494.23,10386.147518495036
Al Barsha South Fifth,Prophet,Train,2023-03-01,11290.8,11806.918570447162
Al Barsha South Fifth,Prophet,Train,2023-04-01,8611.12,8997.961786351992
Al Barsha South Fifth,Prophet,Train,2023-05-01,11719.45,11822.479080756213
Al Barsha South Fifth,Prophet,Train,2023-06-01,11233.645,10948.553591288515
Al Barsha South Fifth,Prophet,Train,2023-07-01,11488.59,10834.186968507145
Al Barsha South Fifth,Prophet,Train,2023-08-01,18861.89,17944.097681691477
Al Barsha South Fifth,Prophet,Train,2023-09-01,18171.61,14769.72903986
Al Barsha South Fifth,Prophet,Train,2023-10-01,17386.53,15208.748691437348
Al Barsha South Fifth,Prophet,Train,2023-11-01,12991.77,12744.232868889549
Al Barsha South Fifth,Prophet,Train,2023-12-01,12347.56,12385.246492163424
Al Barsha South Fifth,Prophet,Train,2024-01-01,13144.61,13183.28366874396
Al Barsha South Fifth,Prophet,Train,2024-02-01,13381.68,14480.730960888297
Al Barsha South Fifth,Prophet,Train,2024-03-01,13831.0,13317.0049954475
Al Barsha South Fifth,Prophet,Train,2024-04-01,12839.19,12456.889119703821
Al Barsha South Fifth,Prophet,Train,2024-05-01,14414.41,14320.187580770087
Al Barsha South Fifth,Prophet,Train,2024-06-01,14109.85,14405.32099351057
Al Barsha South Fifth,Prophet,Train,2024-07-01,14989.52,15650.825410053112
Al Barsha South Fifth,Prophet,Train,2024-08-01,14577.26,15500.556935270415
Al Barsha South Fifth,Prophet,Train,2024-09-01,15090.58,14992.161109450786
Al Barsha South Fifth,Prophet,Train,2024-10-01,15534.66,15922.934195654427
Al Barsha South Fifth,Prophet,Train,2024-11-01,14850.95,15833.440525976377
Al Barsha South Fifth,Prophet,Train,2024-12-01,15578.25,16178.441387452496
Al Barsha South Fifth,Prophet,Test,2025-01-01,15252.28,17693.484536205906
Al Barsha South Fifth,Prophet,Test,2025-02-01,15123.29,11091.607891624972
Al Barsha South Fifth,Prophet,Test,2025-03-01,15317.244999999999,15149.244253477396
Al Barsha South Fifth,Prophet,Test,2025-04-01,15022.45,13589.785745495197
Al Barsha South Fifth,Prophet,Test,2025-05-01,14588.810000000001,15727.242787657737
Al Barsha South Fifth,Prophet,Test,2025-06-01,15181.51,15450.197615757479
Al Barsha South Fifth,Prophet,Test,2025-07-01,15384.96,16167.992703315
Al Barsha South Fifth,Prophet,Test,2025-08-01,15727.49,18408.3465650977
Al Barsha South Fourth,ARIMA,Train,2022-09-01,9386.52,142.12037037037035
Al Barsha South Fourth,ARIMA,Train,2022-10-01,9095.95,9528.64037037037
Al Barsha South Fourth,ARIMA,Train,2022-11-01,9430.78,9238.070370370371
Al Barsha South Fourth,ARIMA,Train,2022-12-01,10175.29,9572.900370370371
Al Barsha South Fourth,ARIMA,Train,2023-01-01,11341.27,10317.410370370371
Al Barsha South Fourth,ARIMA,Train,2023-02-01,10940.455,11483.39037037037
Al Barsha South Fourth,ARIMA,Train,2023-03-01,11045.91,11082.57537037037
Al Barsha South Fourth,ARIMA,Train,2023-04-01,11467.29,11188.03037037037
Al Barsha South Fourth,ARIMA,Train,2023-05-01,11153.235,11609.410370370371
Al Barsha South Fourth,ARIMA,Train,2023-06-01,11508.365,11295.355370370371
Al Barsha South Fourth,ARIMA,Train,2023-07-01,11765.46,11650.48537037037
Al Barsha South Fourth,ARIMA,Train,2023-08-01,12189.56,11907.58037037037
Al Barsha South Fourth,ARIMA,Train,2023-09-01,13009.52,12331.68037037037
Al Barsha South Fourth,ARIMA,Train,2023-10-01,12713.91,13151.64037037037
Al Barsha South Fourth,ARIMA,Train,2023-11-01,13026.82,12856.03037037037
Al Barsha South Fourth,ARIMA,Train,2023-12-01,13061.695,13168.94037037037
Al Barsha South Fourth,ARIMA,Train,2024-01-01,13131.48,13203.81537037037
Al Barsha South Fourth,ARIMA,Train,2024-02-01,13127.775,13273.60037037037
Al Barsha South Fourth,ARIMA,Train,2024-03-01,13063.665,13269.89537037037
Al Barsha South Fourth,ARIMA,Train,2024-04-01,13357.3,13205.785370370371
Al Barsha South Fourth,ARIMA,Train,2024-05-01,13311.68,13499.42037037037
Al Barsha South Fourth,ARIMA,Train,2024-06-01,12691.814999999999,13453.80037037037
Al Barsha South Fourth,ARIMA,Train,2024-07-01,13544.735,12833.93537037037
Al Barsha South Fourth,ARIMA,Train,2024-08-01,14508.05,13686.855370370371
Al Barsha South Fourth,ARIMA,Train,2024-09-01,13524.48,14650.17037037037
Al Barsha South Fourth,ARIMA,Train,2024-10-01,13198.13,13666.60037037037
Al Barsha South Fourth,ARIMA,Train,2024-11-01,13428.34,13340.25037037037
